ID;leftContext;node;rightContext;truth
24;aweg , and eft cuman ne mihte into his anlicnysse , butan Gregorius him lyfde . La hu ne is forðy Gregorius betera þonne þes min god sy ? He beleac þa his tempel , mid geleafan onbryrd , and ferde eft ongean mid þam ilcan gewrite to þam arwurðan;biscope;, and him ealle asæde be his godes geancyme , and be his modes smeaunge , and feoll to his fotum , fulluhtes biddende , and þæt he hine betæhte þam heofonlican Gode , þurh þæs mihte þe he afligde þæra hæþenra godas . He bæd þa swa lange mid;
25;awende heora gewunelican ðeawas , and heora goda offrunga mid ealle adwæscte . Þa ferde se godspellere fram ðære byrig , to ðam geleaffullum ðe he ær lærde , and ðær þurhwunode wel twa gear mid him , and getrymede ða gebroðra ðe he ær to Gode gebigde and þær;bisceopas;gehadode , and halige preostas , and ferde eft ongean to Alexandrian byrig , and gemette þær fela gemenigfealde on geleafan , and on Godes gife ðeonde and he ðæs þancode Gode . Hi hæfdon eac aræred on hrædincge ane cyrcan , and weox se geleafa , and Godes wuldor;
26;axum hi sylfe bestreowodon , and mid hæran hi gescyrddon to lice . Nu do we þis lytle on ures Lenctenes anginne , þæt we streowiað axan uppan ure heafda to geswutelunge þæt we sculon ure synna behreowsian , on ure lenctenlicum fæstene . Sum ungerad mann wæs mid Ælfstane;bisceope;"on Wiltunscire on hirede ; se man nolde gan to ðam axum on þone Wodnes dæg , swa swa oðre men dydon þe þa mæssan gesohton . Þa bædon his geferan þæt he eode to þam mæssepreoste , and underfæncge þa gerynu þe hi underfengon . He cwæð , ic";
27;Basilla mid blysse hi underfæng , and deges and nihtes mid þam deorwurðum halgum Godes lare beeode , and hyre gebæda ne geswac oððæt Cornelius , þæra cristenra biscop , hi dearnunga gefullode fram eallum fulnyssum . Þa wurdon gelome þa leofan mædenu Eugenia and Basilla , and eac se;biscop;, on sunderspræce swiðe gebysgode , and digellice on nihtum hi symble geneosodon and hæfdon heora gerihtu mid þam halgen biscope . Þurh ðas twa mædena manega oðre becoman to Cristes geleafan , and to clænre drohtnunge . Ðurh Claudian becoman eac clæne wudewan mid godum wyllan to Godes geleafan;
28;"be þæs Hælendes godcundnysse , swa swa se earn sceawað þære sunnan leoman unateorigendum eagum ofer eallum nytenum . Ða þry oðre godspelleras awriton heora godspell be Cristes menniscnysse , hu he to mannum com , &amp; eac be þam wundrum þe he geworhte on life . Ða bædon þa";bisceopas;"binnan Asian lande þone halgan Iohannem þæt he him awrite sume gewissunge be þæs Hælendes godcundnysse . And he him bead þa þreora daga fæsten , &amp; æfter þam fæstene he wearð swa afylled mid þam Halgan Gaste þæt he ongann to writenne þa halgan Cristesboc swa swa we her";
29;bebyrged , and him læg onuppan fela byrðena eorðan binnon seofon nihton , þæs ðe he forsoc þa feawa axan . On þære ylcan wucan com sum truð to þæs bisceopes hirede , se ne gymde nanes lenctenes fæstenes , ac eode him to kicenan , þa hwile ðe se;bisceop;"mæssode , and began to etenne . He feoll þa æt ðære forman snæde underbecc geswogen , and spaw blod ; ac him gebyrede swa ðeah þæt feorh earfoðlice . Us sæde eac oft Aþelwold , se halga bisceop þe nu wyrcð wundra ðurh God , þæt he cuðe anne";
30;"began to etenne . He feoll þa æt ðære forman snæde underbecc geswogen , and spaw blod ; ac him gebyrede swa ðeah þæt feorh earfoðlice . Us sæde eac oft Aþelwold , se halga bisceop þe nu wyrcð wundra ðurh God , þæt he cuðe anne mann mid Ælfege";bisceope;, se wolde drincan on Lenctene þonne hine lyste . Þa sume dæg bæd he þone bisceop Ælfeh blætsian his ful . He nolde , and se dysiga dranc butan bletsunge and eode him ut . Man slætte þa ænne fearr feringa þærute , and se fear arn him togeanes;
31;"betæhte þam heofonlican Gode , þurh þæs mihte þe he afligde þæra hæþenra godas . He bæd þa swa lange mid geleafan þone bisceop þæt he hine cristnode ; and he clænlice lyfode syððan of þam dæge on swiðlicre forhæfdnysse , and ealle woruldþing forlet , and wunode mid þam";bisceope;. He wearð þa gefullod , and swa fullfremedlice þeah on halgum mægnum , mid micclum geleafan , and on Godes lare , þæt he æfter Gregorie to biscope wearð gehalgod , and geheold wislice þone biscophad mid godre gebysnunge , Gode to gecwemednysse , swa swa us cyðað bec;
32;boda heom be þam hælende , and ne beo ðu afyrht . Swutollice ðu wast þæt se is soð Godes sunu , se ðe seðe deadum forgeaf lif æfter deaðe , and wanhalum mannum mid his worde læcedom . Æfter ðysum wordum se eadiga Petrus gehadode Apollonarem and gehalgode to;bisceope;", and his handa sette ofer his heafod and cwæð , Asende ure hælend Crist his halgan engel mid þe , se geforðige ðe , and þine fare gewissige , and þe getiþige þæs ðe þu gewilnige ; and hine swa sende to ðære byrig mid siblicum cosse . Appollonaris";
33;bær forð , swa þæt þæt spere him eode þurh ut , and he feoll cwelende . He wearð ða bebyrged , and him læg onuppan fela byrðena eorðan binnon seofon nihton , þæs ðe he forsoc þa feawa axan . On þære ylcan wucan com sum truð to þæs;bisceopes;"hirede , se ne gymde nanes lenctenes fæstenes , ac eode him to kicenan , þa hwile ðe se bisceop mæssode , and began to etenne . He feoll þa æt ðære forman snæde underbecc geswogen , and spaw blod ; ac him gebyrede swa ðeah þæt feorh earfoðlice .";
34;casere sona geyrsod , and bebead Philippe þæt he buge to his godum , oððe wære benæmed wurðscipes and æhta . Þa dælde Philippus digollice his æhta geond ealle þa scyre cyrcum and þearfum , and þurh mycelne geleafan manega oðre getrymode , swa þæt ða cristenan hine gecuron to;bisceope;. Ða æfter twælf monðum gemunde se casere hwæt him gesæd wæs and sænde fram Rome oðerne gerefan mid reðum bebode , swa þæt he het acwellan þone cristenan Philippum , gif hit soð wære swa him gesæd wæs . Ða com se gerefa and hine acwællan ne dorste on;
35;Crist wolde on his tocyme clænnysse aræran , and his halgan hired heold on clænnysse . Menn hæfdon on frymðe heora magan to wife , and swa wel mosten for ðære wifleaste , and gif nu hwa swa deð næfð he Godes bletsunge . Under Moyses æ , moste se;bisceop;habban an geæwnod wif , for þære gewissan æftergencgnysse , þæt is þæt se sunu sceolde symle fon to þam hade , æfter his fæder geendunge and nan oðer ne moste . Hit mihte þa wel swa beon :emendation_from_ms.B , for þan þe hi ne mæssodon næfre , ac hi;
36;"Cristen folc þe on Crist gelyfð , swa swa Paulus cwæð on sumum his pistole to þam geleaffullum mannum þe he to geleafan gebigde : Dei agricultura estis , Dei edificatio estis ; þæt is on Englisc , Ge synd Godes tilung and Godes getimbrung . Witað nu þis :";Biscopas;"and mæssepreostas syndon manna lareowas ; hi sceolan hogian ymbe þæs Hælendes tilunge , þæt hi manega sawla of manncynne gestrynan þam welwillendan Hælende , þe wile us habban . Hi sceolon þone Cristendom don Cristes folce , and mid heora lare symle to geleafan weman , and æfre mid";
37;"cucu geond þreora daga fæc and gefrefrode þa cristenan , and swa mid martyrdome siþþan gewat to ðam lifigendan Drihtne þe he on life wurðode . Eugenia hæfde ær þan asteald mynecena mynster mid mycelre gehealdsumnysse , and seo modor Claudia hit micclum gegodode ; and hi þær bebyrgdon þone";bisceop;Philippum . And hi siþþan ealle endemes færdon , seo modor and seo dohtor , to ðære mæran Rome byrig , and ða gebroðru samod , Særgius and Auitus . And þa romaniscan wytan hi wel underfængon , and for þære ealdan cyððe þæs æðelan Philippes . Þa gesætton þa;
38;cwæð eft se halga wer to ðam ealdan smyðe , Witodlice he wunað nu on Wincelcumbe hamfæst , and ic ðe nu halsige on þæs hælendes naman þæt ðu him min ærende ardlice abeode , and sege him to soþan þæt Swiðun se bisceop het þæt he fare to Aþelwolde;bisceope;, and secge þæt he geopenige him sylf mine byrgene , and mine ban gebringe binnan ðære cyrcan , forðan þe him is getiþod þæt ic on his timan beo mannum geswutelod . And se smið him cwæð to , La leof , Eadzige nele gelyfan minum wordum . Ða;
39;eallum hys hæsum mid micelre eadmodnysse , and eode innto cyrcan , læg on þære flore eallum limum astreht , and beot hys breost , biterlice wepende , and bæd hym miltsunge hys misdæda æt Gode , and gestod þa mæssan mid oðrum mannum . We magon wundrian þæs mæran;bisceopes;", and hys anrædnyss is swyðe heriendlic , and þæs caseres eadmodnyss eac þartogeanes is swiðe micel , þæt he mihte swa forberan on swylcum anwealde þæt he wære amansumod ; ac seo eadmodnyss hym becom to ecere hæle . </doc><doc filename=coaelhom.o3 period=o3 shorttitle=ÆHom_3> Ure Drihten sæde oft swiðe digle bigspell ; þa on";
40;"earmum mannum is inngang alyfed innto Godes cyrican God to gebiddanne , and ic ne mot nu gan innto Godes huse ; and eac þartoeacan me is heofon belocen . Þis he cwæð mid siccetunge and mid sarlicum wope . Ða cwæð Ruphinus þæt he yrnan wolde to þam halgan";biscope;, and hine georne biddan þæt he unbunde þone bend þe he gewrað . Þa cwæð se casere , ic cann hyne swa geare þæt he nele awendan Godes rihtwisnysse for minum cynedome to nanre wohnysse . Hi eodan swaþeah begen to þam biscope sona , and fundon hine sittende;
41;"ege eadmodlice him to , Gewit fram me , Drihten ; ic eom synfull man . Nolde se Hælend for his bene swaþeah hym fram gewitan , ac wunode mid hym , oððæt hy to lande gelændon mid ealle , for ðan þe ða lareowas þe Godes folc lærað ,";bisceopas;and mæssepreostas , ne moton forlætan þa halgan Godes wican þe God hym betæhte for nanre costnunge , for ðan þe Crist hy ahret , gif hy for his lufan ne forlætað his heorde . He wæs swiðe afyrht , and his geferan ealle , and Iacob , and Iohannes;
42;"feorðan dæg het se foresæda dema gelædan ðone halgan on heardre racenteage , feorr on wræcsið ferigende on scipe . Þær wæs sum æðelboren man , atelice hreoflig ; þa axode se bisceop , wylt ðu beon hal ? He cwæð , ic wylle ; and him andwyrde se halga";bisceop;", Gelyf on hælend Crist ; and se hæðena him andwyrde , gif he me gehælð he bið min hælend God . Appollonaris ða hrepode þone untruman hreoflian on ðæs hælendes naman , and he wearð hal sona , mid þam ðe he clypode Cristes naman him to fultume .";
43;feowertyne þusenda mid færlicum bryne , oððæt Aaron eode ut of ðam getelde mid his storcyllan , and stod him tomiddes , gebæd ða for hi , and se grama geswac . On ðysum mæg gehyran se ðe hæfð ænig andgyt þæt hit byð swyðe hearmlic þam ðe huxlice tælð;bisceopas;and sacerdas , þe syndon Godes bydelas , and to lareowum gesette to lærenne Godes folc , þonne se lareow him segð Godes gesetnyssa and his beboda , him sylfum to þearfe , and he þonne forsyhð , and to forsewennysse hæfð ge þone Godes bydel ge þa Godes beboda;
44;flæsc , swa þæt hi nellað onbugan ðam bysmorfullum leahtrum , ne ðam yfelum gewilnungum , ac winnað him togeanes oð þæt hi sigefæste siðiað to Criste , and to ðam ecan wuldre for ðam sceortan gewinne , and hi blyssiað on ecnysse bliðe mid Criste . Agustinus se snotera;bisceop;sæde eac on sumere bec , Mine gebroðra þa leofestan , gelome ic eow warnode , and mid fæderlicre carfulnysse , ic eow cuðlice manode þæt ge andsætan wiglunge þe unwise men healdað , mid ealle forlætan swa swa geleaffulle men , forðan butan ic eow warnige , and þone;
45;forþearle þæt hi swa lange folgodon swa fulum hlafordum , and gebugon þa to Gode , to his clænum biggengum . Git we willað secgan be sumum leasum gode , þe æfter Cristes menniscnysse þurh Cristes geleafan eaðelice wearð of his anlicnysse adræfed . Gregorius wæs gehaten sum swiðe halig;biscop;", se worhte miccle wundra and mihta þurh God . Se rad on wintres dæge embe sume neode ofer þa micclan muntas þe man Mundiu hæt , and ne mihte for snawe nahwider gecyrran þær he wicstowe hæfde ; ac þar wæs gehende an hæþen tempel , gehalgod þam gode";
46;gehiwodon swylce heo cniht wære . Wolde ðam cristenan genealecan on wærlicum hiwe þæt heo ne wurde ameldod . Hi færdon ða þry and heora gefæran forleton oðþæt hi becoman to ðære cristenra wununge , þær hi dæges and nihtes heora Drihten heroden . On ðam ylcan dæge com sum;bisceop;Helenus gehaten , haliges lifes , mid mycelre meniu anmodlice singende , Uia iustorum recta facta est , et iter sanctorum preparata est : þæt is , þæra rihtwisra wæg is gerihtlæced , and þæra halgena siðfæt is gegearcod . Þes bisceop worhta fæla wundra þuruh God , and him;
47;gehæled , and hæfde his gesihðe , and ham eode blyðe butan latteowe ana , se ðe lytle ær þanon wæs gelæd þurh ðone oþerne , and his magas ðancodon mycclum ðæs Gode . Aþelwold þa se arwurða and se eadiga bisceop , þe on ðam dagum wæs on Winceastre;bisceop;, bead his munecum eallum þe on ðam mynstre wunodon , þæt hi ealle eodon endemes to cyrcan , and mid sange heredon þæs sanctes mærða , and God mærsodon swa on þam mæran halgan , swa oft swa ænig wanhal mann wurde gehæled . Þa dydon hi sona swa;
48;gehæledan menn . Þær wurdon gehælede æt ðære halgan byrgene eahta untrume menn , ærðan þe he of ðære byrgene up genumen wære , wundorlice þurh God . Eadgar cyning þa æfter ðysum tacnum wolde þæt se halga wer wurde up gedon , and spræc hit to Aðelwolde þam arwurðan;bisceope;, þæt he hine up adyde mid arwurðnysse . Þa se bisceop Aðelwold mid abbodum and munecum , dyde up þone sanct mid sange wurðlice , and bæron into cyrcan , Sancte Petres huse . Þær he stend mid wurðmynte and wundra gefremað . Þær wurdon gehælede þurh ðone halgan;
49;"gewende to Criste . Þæt wæs þæra gymeleast þe on life hine cuþon , þæt hi noldon awritan his weorc and drohtnunge þam towerdum mannum ðe his mihte ne cuðon ; ac God hæfð swa þeah his lif geswutelod , mid swutelum wundrum and syllicum tacnum . Ðes Swyðun wæs";bisceop;on Winceastre , swa þeah ofer Hamtunscire , gesælig Godes þeowa , and eahta bisceopas wæron betwux him and Sancte Aðelwolde . Nu næs us his lif cuð swa swa we ær cwædon , butan þæt he wæs bebyrged æt his bisceopstole be westan þære cyrcan and oferworht syððan ,;
50;gewissan hwær he wunað nu . Þa cwæð eft se halga wer to ðam ealdan smyðe , Witodlice he wunað nu on Wincelcumbe hamfæst , and ic ðe nu halsige on þæs hælendes naman þæt ðu him min ærende ardlice abeode , and sege him to soþan þæt Swiðun se;bisceop;het þæt he fare to Aþelwolde bisceope , and secge þæt he geopenige him sylf mine byrgene , and mine ban gebringe binnan ðære cyrcan , forðan þe him is getiþod þæt ic on his timan beo mannum geswutelod . And se smið him cwæð to , La leof ,;
51;gremige ure godas dyrstiglice , gebete he wið hi oððe he beo adræfed awæg of ðære byrig , forðan þe hit ne bið na rihtlic þæt we wrecon ure godas , ac hi wrecað hi sylfe gif hi beoð astyrode . Beoð ge gesunde . Þa het se burhealdor þone;bisceop;him to gefeccan , and axode hine sona hwylcere eawfæstnysse he wære , swylce he cwæde , hwæðer eart ðu cristen oððe hæðen ? Se dema hatte Demosten , and he wæs deofles biggencga . Þa cwæð se halga wer to þam hæðenan deman , Ic eom soðlice cristen ,;
52;he wille gewislice þe tiðian . He wearð þa gehæled , and hæfde his gesihðe , and ham eode blyðe butan latteowe ana , se ðe lytle ær þanon wæs gelæd þurh ðone oþerne , and his magas ðancodon mycclum ðæs Gode . Aþelwold þa se arwurða and se eadiga;bisceop;, þe on ðam dagum wæs on Winceastre bisceop , bead his munecum eallum þe on ðam mynstre wunodon , þæt hi ealle eodon endemes to cyrcan , and mid sange heredon þæs sanctes mærða , and God mærsodon swa on þam mæran halgan , swa oft swa ænig wanhal;
53;he yrnan wolde to þam halgan biscope , and hine georne biddan þæt he unbunde þone bend þe he gewrað . Þa cwæð se casere , ic cann hyne swa geare þæt he nele awendan Godes rihtwisnysse for minum cynedome to nanre wohnysse . Hi eodan swaþeah begen to þam;biscope;sona , and fundon hine sittende on cumena huse , and se casere hyne bæd mid soðre eadmodnysse þæt he hys bendas unbindan sceolde . Þa cwæð Ambrosius , hwi come þu hider ? Wilt þu forgægan Godes æ nu , and mid þinum riccetere wendan ongean God ? Se;
