ID;leftContext;node;rightContext;truth;prediction;explanation;confidence;promptTokens;completionTokens;totalTokens;labelLogProb;labelProbability
13;"godspell us segð , þæt he gegaderode þa Godes bearn on anum þe wæron tostencte , to his staðolfæstnesse *yc:text_missing+> þæt hi lif hæfdon on him , se þe ure lif is &amp; eac þæra . An eard wæs gehaten þa on eastdæle , begeondan þære ea Iordanen Decapolis on";bocum;", þæt is Tyn Burhscira , to þam com se Hælend , swa swa segð þiss godspell , &amp; he þær gehælde þurh his halgan hrepunge þone deafan &amp; þone dumban , &amp; gedyde hine halne , swa swa he ælcne dyde þe him to genealæhte . Ðes deafa mann";plural;plural;"The Old English word *bocum* is the dative plural form of *boc* (""book""). In the given context it follows a preposition (likely ""on""), requiring the dative case, and the ending -um is diagnostic of the dative plural for masculine strong nouns. Therefore the noun is plural.";0.9700;390;421;811;0.000000;1.000000
14;"moste mid him . Drihten him andwyrde , Far þe ham to þinum hiwum , &amp; cyþ heom hu mycele mihte Drihten on þe geworhte , &amp; hu he þe gemiltsode . He þa ferde , swiþe bodigende Drihtenes wundra , and menn þæs wundredon . An eorod is on";bocum;"geteald to syx þusendum , &amp; swa fela awyrgedra gasta wæron þam anum menn getenge , oðþæt se mildheorta Hælend to þam lande reow , &amp; hine ahredde . Ða deoflu oncneowon urne Hælend Crist , &amp; þæt Iudeisce folc hine dwollice wiðsoc , &amp; syndon forþi wyrsan þonne þa";plural;plural;"The node word is *bocum*. In Old English, the noun *bōc* (""book"") has the dative plural form *bocum* (the dative singular is *boc*). The ending -um is the regular dative plural marker for masculine and neuter nouns. Therefore the word refers to multiple books, indicating a plural number.";0.9900;402;217;619;-0.000000;1.000000
15;þære gastlican teolunge . Is swaþeah to lyt þæra lareowa nu þe þus don wille , and is manncynn forþi miclum geyrmed , for þam þe þæra is feawa folces lareowa þe geornlice hogie hu man yfel alegce and unrihtwisnysse , and riht arære , swa swa we rædað on;bocum;: Canes muti non possunt latrare : Hi synd þa dumban hundas , and hy ne magon beorcan . Þis cwæð se witega be Godes lareowum , þe noldan bodian and gebigan manncynn to Godes willan þa on þam timan þe hi wæron . Nu is hit gyt wyrse on;plural;plural;The Old English noun *boc* (“book”) is a strong neuter noun. Its dative plural form is *bocum* (e.g., “to/for the books”). The ending -um marks the dative plural, not singular, indicating that the noun refers to multiple books.;0.9900;382;295;677;0.000000;1.000000
16;", na ealra manna , ac swiðe manegra , þæt hy nateshwon ne lufiað þone lifigendan God , ne hyra nyhstan , ne furðan hy sylfe ; for ðon se ðe God ne lufað , ne lufað he hyne sylfne . Se restendæg is , swa swa we rædað on";bocum;", halig freolsdæg on Iudea folce , swa swa we healdað þone halgan Sunnandæg fram woroldlicum weorcum ; and we sceolan wilnian æfre , and æt Gode biddan , þæt we ne beon æmtige fram goodum weorcum , and on Godes lufan acolode , þonne us se endenyhsta dæg onsigende";plural;plural;The Old English noun *bóc* ‘book’ is a neuter strong noun. Its dative plural form is *bócm* (spelled *bocum* in the manuscript). The context shows it governed by a preposition or verb that requires the dative case, confirming it is the plural dative, not a singular form. Therefore the node word is plural.;0.9600;385;303;688;0.000000;1.000000
17;we eac willað eow secgan þæt gastlice andgyt , æfter Agustinus trahtnunge , sceortlice swaþeah , þæt ge ne beon gehefegode . Se wæterscipe wæs beworht mid fif porticum , and hæfde getacnunge , swa swa se trahtnere segð , Iudeisces folces , þe wæs befangen þa mid fif ælicum;bocum;, þe Moyses him sette be Godes sylfes dihte , þæt hi singian ne sceoldon . On þam porticum lagon alefode and adlige , blinde and healte , and on handum forscruncene . Swa wæron þa Iudei wanhale on mode , and on heora geleafan alefode forþearle , for þam;plural;plural;The word *bocum* is the dative plural form of the Old English noun *bōc* (book). The -um ending marks the dative case in the plural, as in phrases like *mid fif bocum* ('with five books'). Therefore the node refers to a plural noun.;0.9800;392;474;866;-0.000000;1.000000
6;secge , swa hwa swa ne bið edcenned of wætere and of ðam Halgan Gaste , ne mæg he inn to Godes rice . Ðis wæs geswutelod sona on anginne , þa þa God ærest gesceop gesceafta þurh his mihte : þa wæs Godes sylfes Gast , swa swa seo;boc;us secgð , gefered ofer wæterum , þæt ure fulluht wære ða iu getacnod mid toweardre mihte , and þæs wæteres gecynd wurde gehalgod þurh þone Halgan Gast , þe gehalgað ure fulluht , and þa sawle wiðinnan fram eallum synnum aþwyhð . Nu ne scyle ge healdan eowre cild;signular;singular;The node word is 'boc', which is the Old English noun meaning 'book'. It appears as the subject of the verb 'secgð' ('says'). The verb form 'secgð' is third‑person singular present indicative (the plural would be 'secgaþ'). Therefore the noun must be singular, not plural. Although the nominative singular and plural forms of 'boc' are orthographically identical, the syntactic agreement with the singular verb resolves the ambiguity.;0.9700;392;697;1089;-0.000000;1.000000
9;"And se ðe hine hæt stuntne , se bið wites scyldig on ðam witnigendlican fyre þære toweardan worulde . Her syndon nu þreo þing , and forþig mare wite : þæt yrre and se hosp , and eac teonræden ; and þas þing sceolon , swa swa us sægð seo";boc;, on ðam toweardan wite beon afeormode , buton se man hy sylfwilles gebete . Micele maran gyltas man mæg gebetan her on þisum life , and þone Hælend gegladian , þæt he ne þurfe þrowian on ðam toweardan life . God cwæð þurh his witegan þæt he wolde mildsian;signular;singular;"In Old English, the noun ""boc"" (book) has the singular nominative/accusative form spelled ""boc"" (or bōc). The plural form would be ""bēc"" (or bec). The surrounding context shows the word standing alone before a prepositional phrase, consistent with a singular noun used as subject or object. There is no morphological marker indicating plural, and the spelling matches the singular form.";0.9500;384;487;871;-0.000000;1.000000
18;"þis . He gesceop þa twegen men , and ealle tida gesette , ac he ne gesceop na syþþan seldcuþe gesceafta , of þam ealdan dihte þe he æt fruman gesette ; ac he gescipð ælce dæge edniwe sawla , and on lichaman geliffæst , swa swa we leorniað on";bocum;, and þa sawla ne beoð nahwær gesceapene ær þan þe God hi asent to þam gesceapenan lichaman on heora moddra innoþum , and hi swa men wurþað . Nu ge magon tocnawan þæt ure sawla ne cumað of fæder ne of meder , ac se heofonlica Fæder gescipð þone;plural;plural;The node word is 'bocum'. In Old English, the noun 'bōc' (book) is a neuter noun. Its plural nominative is 'bocas' and its dative plural is 'bocum'. The ending '-um' is the typical dative plural marker for weak nouns and many neuter nouns. Therefore the form 'bocum' is clearly a plural form, not singular.;0.9900;386;195;581;0.000000;1.000000
19;se ungeleaffulla wer byð gerihtwisod þurh þæt geleaffulle wif . Ic bebeode swaðeah na ic ac God sylf bebyt þæt wer and wif hi ne totwæman . Gif hi þonne þæt doð , wunian hi butan hæmede , oððe hi eft hi gegaderian . Eac hit wære rihtlic , æfter;boca;tæcinge , þæt se cniht ungewemmed wære oððæt he wifode , swa swa he wyle þæt his mæden ungewemmed him to cume . Se ylca apostol cwæð , ælc man hæfð synderlice gife fram Gode , sum swa , sum elles . Swa mycel is se sinscipe , þæt þeah;plural;plural;"In Old English, the noun *bōc* (book) has the plural form *bēc* in the nominative and the genitive plural *bōca*. The form *boca* in the excerpt appears before the noun *tæcinge* (teaching), forming a genitive construction ""boca tæcinge"" meaning ""the teaching of books"". Since it is the genitive plural form, the word denotes a plural noun.";0.9600;385;648;1033;0.000000;1.000000
20;"nanum gode . Ða cwæð se cyning him to , Ne clypa þu swa unwislice ; wite þin gewit . He andwyrde and cwæð , Ne eom ic na gewitleas , ac min gewit is yfel . Me comon lytle ær to twegen Godes englas , and brohton me ane";boc;", seo wæs beorhte scinende , ac heo wæs swyðe gehwæde , and heton me rædan . Ic ða sceawode þa boc and þæron geseah þa feawa godan dæda þe ic dyde seldon , þa wæron swyðe feawa ; and hi færlice genamon eft þa boc æt me , and";signular;plural;"In Old English the noun *boc* (""book"") has the same form for nominative/accusative singular and plural. The determiner preceding it, *þa*, is the definite article used with plural nouns in the nominative/accusative case. Therefore, the phrase *þa boc* means ""the books"", indicating that *boc* is being used in the plural here.";0.9600;376;606;982;0.000000;1.000000
21;and cwæð , Ne eom ic na gewitleas , ac min gewit is yfel . Me comon lytle ær to twegen Godes englas , and brohton me ane boc , seo wæs beorhte scinende , ac heo wæs swyðe gehwæde , and heton me rædan . Ic ða sceawode þa;boc;"and þæron geseah þa feawa godan dæda þe ic dyde seldon , þa wæron swyðe feawa ; and hi færlice genamon eft þa boc æt me , and me nan þing ne sædon . Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus";signular;singular;In Old English the noun *boc* (meaning ‘book’) is a neuter noun whose singular nominative/accusative form is *boc* and whose plural is *bocas*. The surrounding words confirm the singular reading: the determiner *ane* (one) modifies *boc* (“ane boc” = ‘one book’), and the subsequent pronoun *seo* (feminine singular) agrees with a neuter singular noun used as a feminine for poetic reasons. Thus the node word is used in the singular.;0.9900;385;296;681;-0.000000;1.000000
22;"and brohton me ane boc , seo wæs beorhte scinende , ac heo wæs swyðe gehwæde , and heton me rædan . Ic ða sceawode þa boc and þæron geseah þa feawa godan dæda þe ic dyde seldon , þa wæron swyðe feawa ; and hi færlice genamon eft þa";boc;æt me , and me nan þing ne sædon . Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus afyldon , and manega wiðutan on ælce healfe sæton . Hwæt ða se fyrmesta forð teah ane boc mycele and ormæte , swylce mannes;signular;singular;"The noun *boc* ('book') appears with the indefinite article *ane* ('a'), which marks singular reference. The form *boc* is the nominative/accusative singular of a strong masculine noun; the plural would be *bocas*. No plural morphology is present, and the surrounding context ('ane boc mycele') reinforces a singular reading.";0.9700;393;647;1040;-0.000001;0.999999
23;and hi færlice genamon eft þa boc æt me , and me nan þing ne sædon . Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus afyldon , and manega wiðutan on ælce healfe sæton . Hwæt ða se fyrmesta forð teah ane;boc;mycele and ormæte , swylce mannes byrðen . He het þa ræcan me to rædenne þa boc , and ic þæron geseah mid sweartum stafum awritene ealle mine synna þe ic sið and ær gefremode , and mine yfelan geþohtas on þære atelican bec , swyðe swutelice , swa swa;signular;singular;"The Old English noun *boc* means “book”. Its singular nominative/accusative form is *boc*; the plural would be *bocas* (or *boca* in other cases). In the contexts (""þa boc""), the noun appears without a plural ending, indicating the singular form. Thus the node word is singular.";0.9700;392;573;965;-0.000000;1.000000
24;Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus afyldon , and manega wiðutan on ælce healfe sæton . Hwæt ða se fyrmesta forð teah ane boc mycele and ormæte , swylce mannes byrðen . He het þa ræcan me to rædenne þa;boc;, and ic þæron geseah mid sweartum stafum awritene ealle mine synna þe ic sið and ær gefremode , and mine yfelan geþohtas on þære atelican bec , swyðe swutelice , swa swa ic sylf oncneow . Ða cwædon þa deoflu to þam Drihtnes englum ðe ða lytlan boc me;signular;singular;The node word is 'boc', the Old English noun meaning 'book'. Its regular singular nominative/accusative form is 'boc', while the plural form is 'bēc'. The surrounding text includes the quantifier 'ane' (one) – 'ane boc' – which explicitly marks it as singular. Therefore the word is singular.;0.9900;407;259;666;-0.000001;0.999999
25;þa boc , and ic þæron geseah mid sweartum stafum awritene ealle mine synna þe ic sið and ær gefremode , and mine yfelan geþohtas on þære atelican bec , swyðe swutelice , swa swa ic sylf oncneow . Ða cwædon þa deoflu to þam Drihtnes englum ðe ða lytlan;boc;"me brohton , Hwæs abide ge her ? Ge sylfe witon þæt þeos sawul is ure . Ða englas þa cwædon to þam atelicum deoflum , Soð ge secgað ; nimað his sawle to ðam ecum witum on eowrum forwyrde . And þa englas sona of minre syhðe gewiton .";signular;singular;The node word is 'boc', the Old English noun meaning 'book'. Its singular form is 'bōc' (nominative/accusative), while the plural would be 'bēc'. The surrounding context does not show a plural ending, and no article or verb agreement indicates plurality. Therefore, the word is singular.;0.9900;397;212;609;-0.000001;0.999999
26;cyning , þe hi swa geswencte , on þære sæ middan , þæt þær nan man ne becom cucu ða to lande buton Israhela folc , ðe ferdon of ðam lande gangende mid fotum , þurh Godes mihte ealle , ofer ða Readan Sæ , swa swa we rædað on;bocum;. Nu wæron hi oflyste þurh heora unlustas flæsclicra metta , unmægðlice swaþeah , for þam ðe se heofonlica mete hæfde ælcne swæc ælcere werodnysse þe ænig mete hæfð , and wæs eac wurðlicor þonne ða wyrta wæron þe hi æt ham sudon on heora croccum mid flæsce . Se;plural;plural;The node word is 'bocum'. In Old English, the noun 'boc' (book) is a neuter strong noun. Its dative plural form is 'bócum' (with a long ó). The suffix -um is the typical dative plural ending for strong neuter nouns, indicating more than one item. Therefore the word is plural, not singular.;0.9800;394;336;730;0.000000;1.000000
27;, and ealle cristene menn , and cwæð þæt we sceoldon geornlice us warnian wið ða yfelan ceorunge , þæt we swa ne gegremion God ælmihtigne nu mid urum yfelum þeawum , swa swa þæt ealde folc dyde on þam westene þa , wiðerrædlice to swyðe . Hit stent on;bocum;awriten for ure beterunge , and to mycelre bysne us endenextum mannum , þæt we geearnian sceolon æfre þæt betere , and þa eacan myrhðe mid Gode ælmihtigum . Nu syndon manega menn þe secgað þæt hi nellað Godes lare gehyran , þelæs te þelæste hi sceolon habban maran wita;plural;plural;The form 'bocum' is the dative case of the Old English neuter noun 'bōc' (book). In Old English, the dative singular of 'bōc' is 'boc', while the dative plural adds the ending -um, yielding 'bocum'. This signals more than one book, so the word is plural.;0.9900;399;195;594;0.000000;1.000000
28;"geearnian mid micelre earfoðnysse þæt hi wunian mid Gode on wynsumnysse æfre æfter domesdæge , a butan deaðe , þa þe nu gehyrsumiað his hæsum mid weorce ; and þa þe God forseoð beoð besencte on helle on þam ecum witum and endeleasum cwylmingum . Nu ne ræde we on";bocum;þæt man arærde hæþengyld on eallum þam fyrste ær Noes flode , oðþæt þa entas worhtan þone wundorlican stypel æfter Noes flode , and hym swa feala gereorda God þar forgeaf swa þæra wyrhtena wæs . Ða þa hi toferdon to fyrlenum landum , and mancynn þa weox , þa;plural;plural;"The Old English noun *boc* (book) forms its dative plural with the ending -um, giving *bocum*. This form appears in a prepositional phrase (e.g., ""on bocum""), which requires the dative case. The -um ending is a clear marker of the plural dative, not a singular form.";0.9900;408;192;600;0.000000;1.000000
29;"eallum hæþenum , and he is Oðon gehaten oðrum naman on denisc . Nu secgað þa deniscan on heora gedwylde þæt se Iouis wære , þe hi Þor hatað , Mercuries sunu , þe hi Oðon hatað ; ac hi nabbað na riht , for þam þe we rædað on";bocum;", ge on hæþenum ge on cristenum , þæt se hetola Iouis to soðan wære Saturnes sunu , and þa bec ne magon beon awægede þe þa ealdan hæðenan be him awriton þuss ; and eac on martira þrowungum we gemetað swa awriten . Sum wif hatte Uenus , seo";plural;plural;"In Old English, the noun *boc* (""book"") is a masculine n‑stem. Its dative plural form ends in *‑um* (bócum). The node word ""bocum"" matches this dative plural morphology, indicating it is plural rather than singular.";0.9700;378;269;647;0.000000;1.000000
30;ðe an man ne mæg æghwar beon , and ætsomne ealle þing aberan , þeah ðe he anweald hæbbe . Ða gesetton þa cyningas , him sylfum to fultume , ealdormen under him , and hi oft asendon to manegum gewinnum , swa swa hit awriten is ge on hæþenum;bocum;"ge on bibliothecan ; and þa ealdormen gewyldon þa onwinnendan fynd , swa swa we wyllað secgan sume bysne be þam of þam ledenbocum , þæt man us ne lihnige . Dauid se mæra cyning , þeah ðe he cene wære , he asende his heretogan , swa swa hit";plural;plural;The word 'bocum' is the dative form of the Old English noun 'bōc' (book). In Old English, the dative plural of a‑stem masculine nouns is formed with the ending -um (e.g., bēcum). Therefore, 'bocum' marks a plural case, not singular.;0.9800;382;344;726;0.000000;1.000000
