ID;leftContext;node;rightContext;truth
13;"godspell us segð , þæt he gegaderode þa Godes bearn on anum þe wæron tostencte , to his staðolfæstnesse *yc:text_missing+> þæt hi lif hæfdon on him , se þe ure lif is &amp; eac þæra . An eard wæs gehaten þa on eastdæle , begeondan þære ea Iordanen Decapolis on";bocum;", þæt is Tyn Burhscira , to þam com se Hælend , swa swa segð þiss godspell , &amp; he þær gehælde þurh his halgan hrepunge þone deafan &amp; þone dumban , &amp; gedyde hine halne , swa swa he ælcne dyde þe him to genealæhte . Ðes deafa mann";plural
14;"moste mid him . Drihten him andwyrde , Far þe ham to þinum hiwum , &amp; cyþ heom hu mycele mihte Drihten on þe geworhte , &amp; hu he þe gemiltsode . He þa ferde , swiþe bodigende Drihtenes wundra , and menn þæs wundredon . An eorod is on";bocum;"geteald to syx þusendum , &amp; swa fela awyrgedra gasta wæron þam anum menn getenge , oðþæt se mildheorta Hælend to þam lande reow , &amp; hine ahredde . Ða deoflu oncneowon urne Hælend Crist , &amp; þæt Iudeisce folc hine dwollice wiðsoc , &amp; syndon forþi wyrsan þonne þa";plural
15;þære gastlican teolunge . Is swaþeah to lyt þæra lareowa nu þe þus don wille , and is manncynn forþi miclum geyrmed , for þam þe þæra is feawa folces lareowa þe geornlice hogie hu man yfel alegce and unrihtwisnysse , and riht arære , swa swa we rædað on;bocum;: Canes muti non possunt latrare : Hi synd þa dumban hundas , and hy ne magon beorcan . Þis cwæð se witega be Godes lareowum , þe noldan bodian and gebigan manncynn to Godes willan þa on þam timan þe hi wæron . Nu is hit gyt wyrse on;plural
16;", na ealra manna , ac swiðe manegra , þæt hy nateshwon ne lufiað þone lifigendan God , ne hyra nyhstan , ne furðan hy sylfe ; for ðon se ðe God ne lufað , ne lufað he hyne sylfne . Se restendæg is , swa swa we rædað on";bocum;", halig freolsdæg on Iudea folce , swa swa we healdað þone halgan Sunnandæg fram woroldlicum weorcum ; and we sceolan wilnian æfre , and æt Gode biddan , þæt we ne beon æmtige fram goodum weorcum , and on Godes lufan acolode , þonne us se endenyhsta dæg onsigende";plural
17;we eac willað eow secgan þæt gastlice andgyt , æfter Agustinus trahtnunge , sceortlice swaþeah , þæt ge ne beon gehefegode . Se wæterscipe wæs beworht mid fif porticum , and hæfde getacnunge , swa swa se trahtnere segð , Iudeisces folces , þe wæs befangen þa mid fif ælicum;bocum;, þe Moyses him sette be Godes sylfes dihte , þæt hi singian ne sceoldon . On þam porticum lagon alefode and adlige , blinde and healte , and on handum forscruncene . Swa wæron þa Iudei wanhale on mode , and on heora geleafan alefode forþearle , for þam;plural
6;secge , swa hwa swa ne bið edcenned of wætere and of ðam Halgan Gaste , ne mæg he inn to Godes rice . Ðis wæs geswutelod sona on anginne , þa þa God ærest gesceop gesceafta þurh his mihte : þa wæs Godes sylfes Gast , swa swa seo;boc;us secgð , gefered ofer wæterum , þæt ure fulluht wære ða iu getacnod mid toweardre mihte , and þæs wæteres gecynd wurde gehalgod þurh þone Halgan Gast , þe gehalgað ure fulluht , and þa sawle wiðinnan fram eallum synnum aþwyhð . Nu ne scyle ge healdan eowre cild;singular
9;"And se ðe hine hæt stuntne , se bið wites scyldig on ðam witnigendlican fyre þære toweardan worulde . Her syndon nu þreo þing , and forþig mare wite : þæt yrre and se hosp , and eac teonræden ; and þas þing sceolon , swa swa us sægð seo";boc;, on ðam toweardan wite beon afeormode , buton se man hy sylfwilles gebete . Micele maran gyltas man mæg gebetan her on þisum life , and þone Hælend gegladian , þæt he ne þurfe þrowian on ðam toweardan life . God cwæð þurh his witegan þæt he wolde mildsian;singular
18;"þis . He gesceop þa twegen men , and ealle tida gesette , ac he ne gesceop na syþþan seldcuþe gesceafta , of þam ealdan dihte þe he æt fruman gesette ; ac he gescipð ælce dæge edniwe sawla , and on lichaman geliffæst , swa swa we leorniað on";bocum;, and þa sawla ne beoð nahwær gesceapene ær þan þe God hi asent to þam gesceapenan lichaman on heora moddra innoþum , and hi swa men wurþað . Nu ge magon tocnawan þæt ure sawla ne cumað of fæder ne of meder , ac se heofonlica Fæder gescipð þone;plural
19;se ungeleaffulla wer byð gerihtwisod þurh þæt geleaffulle wif . Ic bebeode swaðeah na ic ac God sylf bebyt þæt wer and wif hi ne totwæman . Gif hi þonne þæt doð , wunian hi butan hæmede , oððe hi eft hi gegaderian . Eac hit wære rihtlic , æfter;boca;tæcinge , þæt se cniht ungewemmed wære oððæt he wifode , swa swa he wyle þæt his mæden ungewemmed him to cume . Se ylca apostol cwæð , ælc man hæfð synderlice gife fram Gode , sum swa , sum elles . Swa mycel is se sinscipe , þæt þeah;plural
20;"nanum gode . Ða cwæð se cyning him to , Ne clypa þu swa unwislice ; wite þin gewit . He andwyrde and cwæð , Ne eom ic na gewitleas , ac min gewit is yfel . Me comon lytle ær to twegen Godes englas , and brohton me ane";boc;", seo wæs beorhte scinende , ac heo wæs swyðe gehwæde , and heton me rædan . Ic ða sceawode þa boc and þæron geseah þa feawa godan dæda þe ic dyde seldon , þa wæron swyðe feawa ; and hi færlice genamon eft þa boc æt me , and";singular
21;and cwæð , Ne eom ic na gewitleas , ac min gewit is yfel . Me comon lytle ær to twegen Godes englas , and brohton me ane boc , seo wæs beorhte scinende , ac heo wæs swyðe gehwæde , and heton me rædan . Ic ða sceawode þa;boc;"and þæron geseah þa feawa godan dæda þe ic dyde seldon , þa wæron swyðe feawa ; and hi færlice genamon eft þa boc æt me , and me nan þing ne sædon . Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus";singular
22;"and brohton me ane boc , seo wæs beorhte scinende , ac heo wæs swyðe gehwæde , and heton me rædan . Ic ða sceawode þa boc and þæron geseah þa feawa godan dæda þe ic dyde seldon , þa wæron swyðe feawa ; and hi færlice genamon eft þa";boc;æt me , and me nan þing ne sædon . Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus afyldon , and manega wiðutan on ælce healfe sæton . Hwæt ða se fyrmesta forð teah ane boc mycele and ormæte , swylce mannes;singular
23;and hi færlice genamon eft þa boc æt me , and me nan þing ne sædon . Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus afyldon , and manega wiðutan on ælce healfe sæton . Hwæt ða se fyrmesta forð teah ane;boc;mycele and ormæte , swylce mannes byrðen . He het þa ræcan me to rædenne þa boc , and ic þæron geseah mid sweartum stafum awritene ealle mine synna þe ic sið and ær gefremode , and mine yfelan geþohtas on þære atelican bec , swyðe swutelice , swa swa;singular
24;Efne þa færlice comon þa cwealmbæran deoflu , swyðe anþræc werod , and eall ðis hus afyldon , and manega wiðutan on ælce healfe sæton . Hwæt ða se fyrmesta forð teah ane boc mycele and ormæte , swylce mannes byrðen . He het þa ræcan me to rædenne þa;boc;, and ic þæron geseah mid sweartum stafum awritene ealle mine synna þe ic sið and ær gefremode , and mine yfelan geþohtas on þære atelican bec , swyðe swutelice , swa swa ic sylf oncneow . Ða cwædon þa deoflu to þam Drihtnes englum ðe ða lytlan boc me;singular
25;þa boc , and ic þæron geseah mid sweartum stafum awritene ealle mine synna þe ic sið and ær gefremode , and mine yfelan geþohtas on þære atelican bec , swyðe swutelice , swa swa ic sylf oncneow . Ða cwædon þa deoflu to þam Drihtnes englum ðe ða lytlan;boc;"me brohton , Hwæs abide ge her ? Ge sylfe witon þæt þeos sawul is ure . Ða englas þa cwædon to þam atelicum deoflum , Soð ge secgað ; nimað his sawle to ðam ecum witum on eowrum forwyrde . And þa englas sona of minre syhðe gewiton .";singular
26;cyning , þe hi swa geswencte , on þære sæ middan , þæt þær nan man ne becom cucu ða to lande buton Israhela folc , ðe ferdon of ðam lande gangende mid fotum , þurh Godes mihte ealle , ofer ða Readan Sæ , swa swa we rædað on;bocum;. Nu wæron hi oflyste þurh heora unlustas flæsclicra metta , unmægðlice swaþeah , for þam ðe se heofonlica mete hæfde ælcne swæc ælcere werodnysse þe ænig mete hæfð , and wæs eac wurðlicor þonne ða wyrta wæron þe hi æt ham sudon on heora croccum mid flæsce . Se;plural
27;, and ealle cristene menn , and cwæð þæt we sceoldon geornlice us warnian wið ða yfelan ceorunge , þæt we swa ne gegremion God ælmihtigne nu mid urum yfelum þeawum , swa swa þæt ealde folc dyde on þam westene þa , wiðerrædlice to swyðe . Hit stent on;bocum;awriten for ure beterunge , and to mycelre bysne us endenextum mannum , þæt we geearnian sceolon æfre þæt betere , and þa eacan myrhðe mid Gode ælmihtigum . Nu syndon manega menn þe secgað þæt hi nellað Godes lare gehyran , þelæs te þelæste hi sceolon habban maran wita;plural
28;"geearnian mid micelre earfoðnysse þæt hi wunian mid Gode on wynsumnysse æfre æfter domesdæge , a butan deaðe , þa þe nu gehyrsumiað his hæsum mid weorce ; and þa þe God forseoð beoð besencte on helle on þam ecum witum and endeleasum cwylmingum . Nu ne ræde we on";bocum;þæt man arærde hæþengyld on eallum þam fyrste ær Noes flode , oðþæt þa entas worhtan þone wundorlican stypel æfter Noes flode , and hym swa feala gereorda God þar forgeaf swa þæra wyrhtena wæs . Ða þa hi toferdon to fyrlenum landum , and mancynn þa weox , þa;plural
29;"eallum hæþenum , and he is Oðon gehaten oðrum naman on denisc . Nu secgað þa deniscan on heora gedwylde þæt se Iouis wære , þe hi Þor hatað , Mercuries sunu , þe hi Oðon hatað ; ac hi nabbað na riht , for þam þe we rædað on";bocum;", ge on hæþenum ge on cristenum , þæt se hetola Iouis to soðan wære Saturnes sunu , and þa bec ne magon beon awægede þe þa ealdan hæðenan be him awriton þuss ; and eac on martira þrowungum we gemetað swa awriten . Sum wif hatte Uenus , seo";plural
30;ðe an man ne mæg æghwar beon , and ætsomne ealle þing aberan , þeah ðe he anweald hæbbe . Ða gesetton þa cyningas , him sylfum to fultume , ealdormen under him , and hi oft asendon to manegum gewinnum , swa swa hit awriten is ge on hæþenum;bocum;"ge on bibliothecan ; and þa ealdormen gewyldon þa onwinnendan fynd , swa swa we wyllað secgan sume bysne be þam of þam ledenbocum , þæt man us ne lihnige . Dauid se mæra cyning , þeah ðe he cene wære , he asende his heretogan , swa swa hit";plural
